adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,nome_no_dataset,data_no_dataset
False,/kGzFbGhp99zva6oZODW5atUtnqi.jpg,"[18, 80]",240,en,The Godfather Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",17.1099,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,1974-12-20,The Godfather Part II,False,8.571,13157,The Godfather: Part II,1974
False,/x4biAVdPVCghBlsVIzB6NmbghIz.jpg,[37],429,it,"Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",11.6961,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,1966-12-22,"The Good, the Bad and the Ugly",False,8.465,9145,"Il buono, il brutto, il cattivo",1966
False,/7TF4p86ZafnxFuNqWdhpHXFO244.jpg,"[18, 80]",769,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",14.1003,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,1990-09-12,GoodFellas,False,8.455,13590,Goodfellas,1990
False,/kgjvZgs6cV2v5bigzzzWqJ9EMGs.jpg,"[12, 28, 878]",1891,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",10.0169,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,1980-05-20,The Empire Strikes Back,False,8.395,17642,Star Wars: Episode V - The Empire Strikes Back,1980
False,/gZ2kyF53ttTxIRcEV51gs8Jw9Lz.jpg,[99],726430,en,The Undefeated Presents: Hamilton In-Depth,"Hamilton In-Depth is a roundtable discussion with Tony winners Lin-Manuel Miranda, Renée Elise Goldsberry, Leslie Odom Jr., Daveed Diggs, Phillipa Soo, Christopher Jackson, Okieriete Onaodowan, Anthony Ramos, Jasmine Cephas Jones and director Thomas Kail. Hosted by The Undefeated’s Kelley Carter, this special was done in promotion of Hamilton.",0.4965,/oFqMZRRzDJ0ZG0FR18zgclx9TRP.jpg,2020-07-03,The Undefeated Presents: Hamilton In-Depth,False,7.0,2,Hamilton,2020
False,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,"[35, 53, 18]",496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",22.7809,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,Parasite,False,8.497,19430,Gisaengchung,2019
False,/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg,"[18, 80]",598,pt,Cidade de Deus,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",9.9908,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,2002-08-30,City of God,False,8.429,7774,Cidade de Deus,2002
False,/ukfI9QkU1aIhOhKXYWE9n3z1mFR.jpg,"[16, 10751, 14]",129,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",22.5512,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,Spirited Away,False,8.535,17441,Sen to Chihiro no kamikakushi,2001
False,/6aNKD81RHR1DqUUa8kOZ1TBY1Lp.jpg,"[35, 18]",637,it,La vita è bella,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,9.3732,/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg,1997-12-20,Life Is Beautiful,False,8.441,13516,La vita è bella,1997
False,/nC3IjYhUgZWgfKfFX0ygMigFwgc.jpg,"[28, 18, 36]",14537,ja,切腹,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",3.2956,/5konZnIbcAxZjP616Cz5o9bKEfW.jpg,1962-09-15,Harakiri,False,8.43,1111,Seppuku,1962
