adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,nome_no_dataset,data_no_dataset
False,/87wqeMeUeMRLjsE1IWNKJcPlpuC.jpg,"[18, 10749]",289,en,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",5.8675,/oyGRZVIthHJjc98ekKpeWpDh8Ws.jpg,1943-01-15,Casablanca,False,8.154,5704,Casablanca,1942
False,/gEDzACsdPbsHZQ0I80FLYFCf2nt.jpg,"[28, 18, 10752]",554600,hi,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",3.9936,/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,2019-01-11,Uri: The Surgical Strike,False,7.039,441,Uri: The Surgical Strike,2018
False,/sFEYsEfzTx7hhjetlNrme8B5OUo.jpg,"[28, 53, 878]",752,en,V for Vendetta,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",14.7423,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,2006-02-23,V for Vendetta,False,7.9,14975,V for Vendetta,2005
False,/1ZSWFzAP4AZuFCigZZoib2RdcUO.jpg,"[18, 9648, 53]",411088,es,Contratiempo,"Barcelona, Spain. Adrián Doria, a young and successful businessman accused of murder, meets one night with Virginia Goodman, an expert interrogation lawyer, in order to devise a defense strategy.",9.3537,/fptnZJbLzKUHeNlYrAynbyoL5YJ.jpg,2017-01-06,The Invisible Guest,False,8.086,4746,Contratiempo,2016
False,/1YRtgjLb5xxUb2rsNRnr54Oc0B2.jpg,"[16, 53]",10494,ja,PERFECT BLUE,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.",8.8205,/6WTiOCfDPP8XV4jqfloiVWf7KHq.jpg,1998-02-28,Perfect Blue,False,8.305,2896,Pâfekuto burû,1997
False,/h0jlcOISKcrVG4IE4p5IyZGrMhn.jpg,"[35, 80]",212,en,Arsenic and Old Lace,"Mortimer Brewster, a newspaper drama critic, playwright, and author known for his diatribes against marriage, suddenly falls in love and gets married;  but when he makes a quick trip home to tell his two maiden aunts, he finds out his aunts' hobby - killing lonely old men and burying them in the cellar!",1.1833,/xG1GEEQGgExKl0WT5sRo1Arst5D.jpg,1944-09-01,Arsenic and Old Lace,False,7.64,986,Arsenic and Old Lace,1942
False,/7b5R8FfGUzlxfhOkPpL3xyIeuyF.jpg,"[18, 10402]",502033,en,Sound of Metal,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew.",3.2523,/3178oOJKKPDeQ2legWQvMPpllv.jpg,2020-11-20,Sound of Metal,False,7.711,2660,Sound of Metal,2019
False,/5rp9Jydh9RxrvVBW2lr27B8NYiT.jpg,"[80, 18, 10749]",3133,en,Badlands,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,2.6147,/z81rBzHNgiNLean2JTGHgxjJ8nq.jpg,1974-01-05,Badlands,False,7.478,1255,Badlands,1973
False,/uYRnUnBE4kk5ocvyBckRfMAsZpJ.jpg,"[12, 10749, 10752]",22584,en,To Have and Have Not,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.,0.9022,/m9RYIio23yClaO3fy5tcpYac1Gf.jpg,1945-01-20,To Have and Have Not,False,7.5,538,To Have and Have Not,1944
False,/qzUIOTk0E3F1zjvYjcBRTKUTgf9.jpg,"[80, 35, 28, 12]",207703,en,Kingsman: The Secret Service,The story of a super-secret spy organization that recruits an unrefined but promising street kid into the agency's ultra-competitive training program just as a global threat emerges from a twisted tech genius.,15.6116,/r6q9wZK5a2K51KFj4LWVID6Ja1r.jpg,2015-01-24,Kingsman: The Secret Service,False,7.623,17251,Kingsman: The Secret Service,2014
